id,arquivo,fundo,iluminacao,posicao,distancia,formato,status,erro_codigo,erro_mensagem,largura_original_px,altura_original_px,tinha_canal_alfa,detectado,fracao_foreground,numero_contornos,dominancia,toca_borda,distancia_minima_borda_px,area_contorno_px2,elongacao,circularidade,solidez,razao_perimetro_hull,anisotropia,orientacao_confiavel,proporcao_verde,cat_alongamento,limitrofe_alongamento,cat_concavidade,limitrofe_concavidade,cat_compacidade,limitrofe_compacidade,cat_complexidade_borda,limitrofe_complexidade_borda,cat_orientacao,limitrofe_orientacao,n_limitrofes,tempo_pipeline_ms,tempo_parede_ms,n_avisos_tecnicos,avisos
EXT001,folha-01.jpg,colorido,natural,centralizada,media,JPG,sucesso_com_avisos,,,345,245,False,True,0.514191,7,0.916635,True,0,40991.0,1.09417,0.250743,0.773276,1.554036,0.335937,True,0.99154,baixa,False,moderada,False,baixa,False,complexa,False,bem_definida,False,0,144.911,149.436,2,multiplos_contornos | objeto_toca_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT002,folha-02.jpg,irregular,natural,centralizada,media,JPG,sucesso_com_avisos,,,362,241,False,True,0.99506,1,1.0,True,0,86596.5,1.504167,0.725896,0.999498,1.018623,0.387035,True,0.992661,moderada,True,baixa,False,alta,False,regular,False,bem_definida,False,1,87.69,92.188,2,objeto_toca_borda | atributos proximos de um limiar: alongamento | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT003,folha-03.jpg,colorido,natural,centralizada,media,JPG,sucesso_com_avisos,,,352,235,False,True,0.015921,35,0.384019,False,27,396.5,1.465117,0.546348,0.863834,1.174598,0.38954,True,0.889901,baixa,True,moderada,False,moderada,False,moderada,True,bem_definida,False,2,65.959,70.217,3,"selecao_ambigua | multiplos_contornos | atributos proximos de um limiar: alongamento, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
EXT004,folha-04.jpg,claro,natural,centralizada,media,JPG,sucesso_com_avisos,,,387,241,False,True,0.998746,1,1.0,True,0,92539.0,1.608333,0.684662,0.998996,1.042399,0.442396,True,0.996523,moderada,False,baixa,False,alta,False,regular,False,bem_definida,False,0,85.172,90.305,1,objeto_toca_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT005,folha-05.jpg,irregular,desigual,deslocada,media,JPG,sucesso_com_avisos,,,338,234,False,True,0.624147,9,0.94035,True,0,46473.5,1.446352,0.167368,0.75646,1.881335,0.554319,True,0.951792,baixa,True,moderada,False,baixa,False,complexa,False,bem_definida,False,1,80.055,84.197,5,variacao_area_acima_de_1pct | iou_abaixo_de_0_99 | multiplos_contornos | objeto_toca_borda | atributos proximos de um limiar: alongamento | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT006,folha-06.jpg,colorido,natural,proxima_borda,grande,JPG,sucesso_com_avisos,,,332,249,False,True,0.585547,2,0.934265,True,0,44542.5,1.250304,0.282706,0.829577,1.587801,0.224472,True,0.993018,baixa,False,moderada,False,baixa,False,complexa,False,pouco_definida,False,0,79.705,84.675,2,multiplos_contornos | objeto_toca_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT007,folha-07.jpg,irregular,natural,centralizada,media,JPG,sucesso_com_avisos,,,367,243,False,True,0.842478,1,1.0,True,0,75056.0,1.512396,0.186019,0.847401,1.851763,0.439688,True,0.993955,moderada,True,moderada,False,baixa,False,complexa,False,bem_definida,False,1,92.985,98.215,2,objeto_toca_borda | atributos proximos de um limiar: alongamento | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
EXT008,folha-08.jpg,irregular,natural,centralizada,media,JPG,sucesso_com_avisos,,,378,252,False,True,0.939878,2,0.991499,True,0,89051.5,1.501992,0.473611,0.960626,1.256888,0.39601,True,0.982771,moderada,True,baixa,True,moderada,False,moderada,True,bem_definida,False,3,101.742,107.211,5,"variacao_area_acima_de_1pct | iou_abaixo_de_0_99 | multiplos_contornos | objeto_toca_borda | atributos proximos de um limiar: alongamento, concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
EXT009,folha-09.jpg,colorido,desigual,centralizada,grande,JPG,sucesso_com_avisos,,,408,252,False,True,0.322965,21,0.816847,True,0,26086.0,1.042188,0.158087,0.736986,2.082863,0.062045,True,0.962357,baixa,False,moderada,False,baixa,False,complexa,False,pouco_definida,False,0,97.102,102.305,3,iou_abaixo_de_0_99 | multiplos_contornos | objeto_toca_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
